ID,SCOP (Jun 23 to Jun 24)
1,3.6892275813756283
2,4.077538019241501
3,3.0671895045088657
4,4.38437555131277
5,4.4411111835232155
6,3.72893493225946
7,3.873775771532649
8,4.06310180587258
9,3.9813736129394064
10,4.4039216355283735
11,3.50715000782966
12,3.7943009826875165
13,4.1099499677211115
14,3.257049099344362
15,4.371588803964946
16,4.256748858786806
17,3.3551176251140316
20,4.019382808148073
21,3.8618877087252907
22,3.100380609043395
23,2.7146662646002397
24,3.6172001321440397
25,3.171289474003653
26,4.016445061594587
27,3.6614804164685495
31,3.2667635206531522
32,3.2766775279138867
33,4.111435467637542
34,4.0433293140039925
36,4.16950011174849
37,3.9411456232772992
39,3.343018487491239
40,2.8080368960873185
41,3.6916676073540553
43,3.3805284959110726
44,3.479985676394538
45,3.4318452917554714
46,4.626351786171675
47,3.580498010198201
49,2.343022898733512
50,3.60294970793985
51,4.175372023954778
52,3.912909821246606
55,3.5035838172535896
56,3.1356506129370385
57,3.965931418080947
59,3.7546126514836606
60,3.867820486027616
61,3.448453837408107
63,3.2406648255346164
64,3.8404413164016296
65,4.654229221246918
66,5.042181058073242
67,4.0205462567866785
68,4.962256460306861
69,3.3516192408507393
70,2.614500895200371
71,3.846770038447808
72,3.9730964987644417
73,3.9272189079598587
74,2.933927589011782
75,4.381883631683683
76,3.0110698735268246
77,3.774532787182479
78,3.594749466902565
79,3.795559554014101
80,3.6271287102270144
81,3.800479513174206
82,3.001126257036048
83,3.517123640230808
84,4.412885063101733
86,3.861244918850141
87,3.1203710350041316
88,4.0834927574270985
90,3.619870777150707
96,2.877035174959392
97,3.561470794158261
99,3.273898148353668
105,4.151914180882912
106,2.9411751521956795
108,3.5528783760684206
109,4.42638561812304
110,3.0779364993832607
111,3.3859313444370347
113,3.9593523687209276
114,4.437858144320179
115,4.232312911869669
116,4.694245054627596
117,4.135149659343181
118,3.4970040045873274
120,3.0675207067555577
122,3.531214134761124
123,3.5090109771378066
124,4.225281706468815
125,3.3609675785017803
126,4.086854010879324
127,3.292629891105156
132,4.036188740744168
133,2.73792004290936
134,2.031284321949617
138,4.4875051715162195
139,4.97966975981326
140,4.228347211415403
143,4.647656457795505
144,4.2694903849158985
146,4.661552617688877
147,3.8651107635514648
148,3.6447941598069598
149,4.71359601275928
150,4.444725883877657
151,4.68298198219561
152,3.7548638429635504
153,4.9187227124828174
154,4.036286342160384
158,4.036501096114609
159,4.314554463752646
160,4.054699437936213
161,4.727175538033919
162,3.5837279925873973
163,2.401696407421259
167,3.9492964661162326
169,4.132169311499084
170,3.579330003947625
172,2.877035174959392
173,3.31233886607909
174,4.5528954191446
175,4.129310282131405
176,4.791463397789838
193,3.7675084918565287
195,4.095351897927895
196,4.599552890731028
197,3.507337072703064
202,4.745048587093788
204,5.652459614548103
208,4.843422861501699
209,4.256887911050311
210,4.219415319641937
211,3.214681817206061
212,3.6130682599054715
213,4.308151268071579
215,3.839249589763442
216,3.830083300585908
222,4.347503187311473
223,3.053549420689913
224,3.5321108815427
225,4.371766793591567
227,4.122404768962647
228,2.4003260181197876
231,4.274921298300651
232,4.064611400984413
237,4.443984815943656
238,4.123607749807496
239,5.02281716080166
240,2.672465820523168
241,3.9240328338918076
243,4.281513009137604
244,4.663233625672383
248,4.997059442594129
249,1.4551717279741574
250,2.299180606683648
251,3.0072230298568035
252,3.2291217054974246
254,4.608492909529203
256,4.933899797016807
258,3.968655928709477
262,3.8455771350244974
263,3.1769241810926423
264,3.9691008638070406
265,3.7065902127393127
272,3.565906217587435
276,4.754848039971538
278,4.908362652535756
281,4.229690149903979
282,4.371855523800257
286,4.451757148618654
287,3.6090055182174634
289,3.4467109012063077
290,2.5202633455128782
308,4.692383660872559
