ID,SCOP (Jun 23 to Aug 23),SCOP (Sep 23 to Nov 23),SCOP (Dec 23 to Feb 24),SCOP (Mar 24 to May 24),SCOP (Jun 23 to Jun 24)
1,3.2884615384615388,3.9930348709195194,3.805939077254753,4.231743988260016,3.935988763493317
2,4.732188789854638,4.558700965246284,4.025864255257177,4.440232554818778,4.244210094911619
3,3.1133106131551753,3.470065229679906,3.019180408944236,3.6018013687262935,3.2644209851169554
4,5.725074112764338,4.647729069606126,4.420345225069995,4.812630382646276,4.588151996745396
7,2.7735824750173306,4.284362093702162,3.9439881360267814,4.424164666550687,4.117989665672844
8,3.1518153236573494,4.41106614833348,4.082653707443794,4.664021111068931,4.265581591189425
9,3.3440584579960606,3.8890194090073664,4.18943820736543,4.692067076905129,4.14209593105923
11,Data not available,4.841611640932828,4.497194885199559,4.631826143105047,4.56843326005299
12,Data not available,Data not available,3.8440122414910918,4.131524759658786,3.9619256811980685
17,2.6574950184933814,3.8485862941373186,3.5845920350624527,3.695955640426963,3.6365309281553095
23,Data not available,Data not available,Data not available,3.1680172680107934,3.1680172680107934
36,Data not available,Data not available,4.303690517605086,4.444939383498452,4.419224467724881
44,2.907837794795807,3.2116488675397465,3.5882017609929138,4.756085697169884,3.7228293360573876
45,2.6715457583238873,3.379616969837075,3.43166637749287,3.8564130417117064,3.506607648710803
46,6.25934470419592,5.25314974240739,4.511231280836362,5.287448534001197,4.9047575896806785
55,Data not available,Data not available,3.770673095502868,3.4481349643611723,3.539040838967591
56,3.126742225088041,3.1431438309886586,2.9815746422728098,3.7409649380007,3.1824648692744404
71,Data not available,3.9195713518639104,3.662996394357564,4.621081585462125,3.9081696632945593
72,Data not available,3.2014654825828925,3.8436103696006603,5.200169535096046,4.00121633643239
74,Data not available,Data not available,Data not available,4.289719626168225,4.289719626168225
76,Data not available,3.520066176211762,3.442206173062227,2.9799552168250987,3.3366018205489123
80,Data not available,4.038149899976337,3.983479439504934,4.469785675451395,4.115904662153856
82,6.9424626006904475,3.3568845204613926,2.960359561551617,3.613191490325461,3.1494927786242
86,Data not available,Data not available,3.8529619087090876,4.179155966822461,3.9801268630693354
99,Data not available,2.4668115739597143,3.588798587716474,3.8102549938590116,3.440775740478976
111,Data not available,Data not available,3.388613876899195,3.680042578177387,3.492096199743332
113,Data not available,Data not available,4.087512294023633,4.990570760360078,4.4318727948028815
114,Data not available,Data not available,4.391626234455838,5.276744601135251,4.719961912921892
115,Data not available,Data not available,4.363886985906526,4.7980858674671,4.508228584693862
116,Data not available,6.198870201566311,4.924571814145488,5.23442004656125,5.060110178604209
117,Data not available,Data not available,4.233940389280934,4.772389177248334,4.442801706827706
120,Data not available,Data not available,2.858118315294893,3.9745812723501324,3.2164397142949306
126,Data not available,Data not available,4.041784373453514,4.70761947847191,4.323336603544654
127,Data not available,Data not available,3.8221030429094647,4.655876195144747,4.0774135398316975
140,Data not available,3.289577984203058,4.439709888230487,5.066417205726364,4.635726803161821
147,Data not available,Data not available,Data not available,4.905419132271132,4.905419132271132
148,Data not available,Data not available,4.191593475339201,4.113718789621801,4.142422297713661
159,Data not available,Data not available,4.025590862506021,4.921372045727013,4.599748258853226
162,Data not available,Data not available,3.578428000873014,4.220762943553253,3.7671326424134643
163,Data not available,Data not available,4.345807442854228,2.5413959326505386,2.991830856072147
169,Data not available,Data not available,4.939494528105262,4.643929521982865,4.698153578712495
193,Data not available,Data not available,3.7041215709492796,4.081959075943477,4.054534348975552
204,Data not available,Data not available,Data not available,6.9316078027288235,6.9316078027288235
211,Data not available,Data not available,Data not available,3.754974763836096,3.754974763836096
212,Data not available,Data not available,Data not available,3.490019923193625,3.490019923193625
222,Data not available,Data not available,Data not available,4.520837815013854,4.520837815013854
224,Data not available,Data not available,Data not available,6.138049959709913,6.138049959709913
240,Data not available,Data not available,Data not available,4.175378539147901,4.175378539147901
250,Data not available,Data not available,Data not available,2.0002053135137356,2.0002053135137356
252,Data not available,Data not available,Data not available,1.6346276032474407,1.6346276032474407
272,Data not available,3.601867468965422,3.361594229911945,4.092757335714683,3.5765289120445867
