ID,SCOP (Jun 23 to Jun 24)
1,3.935988763493317
2,4.244210094911619
3,3.2644209851169554
4,4.588151996745396
7,4.117989665672844
8,4.265581591189425
9,4.14209593105923
11,4.56843326005299
12,3.9619256811980685
17,3.6365309281553095
23,3.1680172680107934
36,4.419224467724881
44,3.7228293360573876
45,3.506607648710803
46,4.9047575896806785
55,3.539040838967591
56,3.1824648692744404
71,3.9081696632945593
72,4.00121633643239
74,4.289719626168225
76,3.3366018205489123
80,4.115904662153856
82,3.1494927786242
86,3.9801268630693354
99,3.440775740478976
111,3.492096199743332
113,4.4318727948028815
114,4.719961912921892
115,4.508228584693862
116,5.060110178604209
117,4.442801706827706
120,3.2164397142949306
126,4.323336603544654
127,4.0774135398316975
140,4.635726803161821
147,4.905419132271132
148,4.142422297713661
159,4.599748258853226
162,3.7671326424134643
163,2.991830856072147
169,4.698153578712495
193,4.054534348975552
204,6.9316078027288235
211,3.754974763836096
212,3.490019923193625
222,4.520837815013854
224,6.138049959709913
240,4.175378539147901
250,2.0002053135137356
252,1.6346276032474407
272,3.5765289120445867
